Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
9bb0795c-4ff0-0305-1990-000000000048,163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CONCEPT-SET,100,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164655,CONCEPT-SET,1,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,SNOMED-CT:44491008,CONCEPT-SET,2,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164674,CONCEPT-SET,3,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164606,CONCEPT-SET,4,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164704,CONCEPT-SET,5,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164723,CONCEPT-SET,6,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164725,CONCEPT-SET,7,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:164956,CONCEPT-SET,8,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:165144,CONCEPT-SET,9,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:159601,CONCEPT-SET,10,,
163958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:159600,CONCEPT-SET,11,,
